nim,nama,prodi,masa_studi,true_label,IPK1,SKS1,IPK2,SKS2,IPK3,SKS3,IPK4,SKS4,IPK5,SKS5,IPK_1,SKS_1,IPK_2,SKS_2,IPK_3,SKS_3,IPK_4,SKS_4,IPK_5,SKS_5
1.61013E+12,MHSIPA16001,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.48,21,3.42,45,3.41,67,3.35,88,3.36,109,0.36946404,0.628986588,0.37657548,1.333526849,0.282266707,0.984027512,0.10242895,0.666830735,0.140886928,0.488849408
1.61013E+12,MHSIPA16002,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.62,21,3.62,43,3.63,67,3.65,90,3.64,113,0.71214044,0.628986588,0.906207087,0.354351807,0.939565791,0.984027512,1.105671406,1.018376523,1.116014426,1.053172034
1.61013E+12,MHSIPA16003,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.74,21,3.74,42,3.66,65,3.67,86,3.56,107,1.005863069,0.628986588,1.223986051,-0.135235714,1.029197484,0.479669325,1.172554237,0.315284947,0.83740657,0.206688095
1.61013E+12,MHSIPA16004,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.24,19,3.38,41,3.22,63,3.17,81,3.13,102,-0.217981216,-0.527863343,0.270649159,-0.624823235,-0.285400683,-0.024688862,-0.499516524,-0.563579524,-0.660110661,-0.498715188
1.61013E+12,MHSIPA16005,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.51,21,3.51,45,3.34,69,3.28,90,3.24,111,0.442894698,0.628986588,0.614909703,1.333526849,0.07312609,1.488385699,-0.131660956,1.018376523,-0.277024858,0.771010721
1.61013E+12,MHSIPA16006,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.76,21,3.65,45,3.57,69,3.58,92,3.57,115,1.05481684,0.628986588,0.985651828,1.333526849,0.760302405,1.488385699,0.8715815,1.369922312,0.872232552,1.335333347
1.61013E+12,MHSIPA16007,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.88,21,3.82,45,3.86,69,3.4,86,3.86,104,1.348539469,0.628986588,1.435838694,1.333526849,1.626742106,1.488385699,0.269636026,0.315284947,1.882186032,-0.216553875
1.61013E+12,MHSIPA16008,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.58,21,3.77,45,3.79,69,3.74,92,3.64,115,0.614232898,0.628986588,1.303430793,1.333526849,1.417601488,1.488385699,1.406644143,1.369922312,1.116014426,1.335333347
1.61013E+12,MHSIPA16009,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.68,21,3.78,45,3.67,67,3.77,89,3.75,106,0.859001755,0.628986588,1.329912373,1.333526849,1.059074715,0.984027512,1.506968389,0.842603629,1.499100229,0.065607438
1.61013E+12,MHSIPA16010,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.81,21,3.78,45,3.69,69,3.66,92,3.65,115,1.177201269,0.628986588,1.329912373,1.333526849,1.118829177,1.488385699,1.139112821,1.369922312,1.150840408,1.335333347
1.61013E+12,MHSIPA16011,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.49,21,3.58,45,3.55,69,3.5,92,3.48,113,0.393940926,0.628986588,0.800280766,1.333526849,0.700547942,1.488385699,0.604050178,1.369922312,0.558798713,1.053172034
1.61013E+12,MHSIPA16012,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.71,21,3.64,45,3.58,69,3.55,90,3.53,111,0.932432412,0.628986588,0.959170248,1.333526849,0.790179636,1.488385699,0.771257254,1.018376523,0.732928623,0.771010721
1.61013E+12,MHSIPA16013,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.85,21,3.64,45,3.63,67,3.65,90,3.68,113,1.275108811,0.628986588,0.959170248,1.333526849,0.939565791,0.984027512,1.105671406,1.018376523,1.255318355,1.053172034
1.61013E+12,MHSIPA16014,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.69,21,3.73,45,3.64,69,3.54,87,3.55,108,0.88347864,0.628986588,1.197504471,1.333526849,0.969443022,1.488385699,0.737815839,0.491057841,0.802580587,0.347768751
1.61013E+12,MHSIPA16015,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.7,21,3.7,45,3.52,67,3.6,90,3.6,110,0.907955526,0.628986588,1.11805973,1.333526849,0.610916249,0.984027512,0.93846433,1.018376523,0.976710498,0.629930064
1.61013E+12,MHSIPA16016,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.65,21,3.68,45,3.34,65,3.41,90,3.45,111,0.785571097,0.628986588,1.065096569,1.333526849,0.07312609,0.479669325,0.303077441,1.018376523,0.454320766,0.771010721
1.61013E+12,MHSIPA16017,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.69,21,3.86,41,3.8,68,3.74,89,3.7,103,0.88347864,0.628986588,1.541765016,-0.624823235,1.447478719,1.236206605,1.406644143,0.842603629,1.324970319,-0.357634531
1.61013E+12,MHSIPA16018,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.83,21,3.87,45,3.4,67,3.81,88,3.77,106,1.22615504,0.628986588,1.568246596,1.333526849,0.252389476,0.984027512,1.64073405,0.666830735,1.568752194,0.065607438
1.61013E+12,MHSIPA16019,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.8,21,3.6,43,3.71,68,3.6,92,3.55,103,1.152724383,0.628986588,0.853243927,0.354351807,1.17858364,1.236206605,0.93846433,1.369922312,0.802580587,-0.357634531
1.61013E+12,MHSIPA16020,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.73,21,3.68,43,3.57,67,3.52,88,3.48,100,0.981386183,0.628986588,1.065096569,0.354351807,0.760302405,0.984027512,0.670933009,0.666830735,0.558798713,-0.780876501
1.61013E+12,MHSIPA16021,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.68,21,3.73,45,3.68,69,3.6,92,3.6,113,0.859001755,0.628986588,1.197504471,1.333526849,1.088951946,1.488385699,0.93846433,1.369922312,0.976710498,1.053172034
1.61013E+12,MHSIPA16022,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.73,21,3.66,45,3.63,69,3.56,92,3.56,115,0.981386183,0.628986588,1.012133409,1.333526849,0.939565791,1.488385699,0.804698669,1.369922312,0.83740657,1.335333347
1.61013E+12,MHSIPA16023,Pendidikan IPA,> 4 Tahun,Tidak Tepat Waktu Sangat Memuaskan,3.75,21,3.3,43,3.49,67,3.6,89,3.58,107,1.030339954,0.628986588,0.058796516,0.354351807,0.521284556,0.984027512,0.93846433,0.842603629,0.907058534,0.206688095
