nim,nama,prodi,IPK1,SKS1,IPK2,SKS2,IPK3,SKS3,IPK4,SKS4,IPK5,SKS5,IPK_1,SKS_1,IPK_2,SKS_2,IPK_3,SKS_3,IPK_4,SKS_4,IPK_5,SKS_5
1910129220006,MHSIPA19001,Pendidikan IPA,3.24,20,3.5,42,3.58,66,3.5,86,3.67,110,-0.293795033,0.185353936,0.232905681,-0.088362523,0.430072671,0.375635102,0.178731511,-0.109900664,0.646090664,0.075333673
1910129320012,MHSIPA19002,Pendidikan IPA,3.59,20,3.71,44,3.69,68,3.73,91,3.74,115,0.635428814,0.185353936,0.837157484,1.249698535,0.778554071,0.860227242,0.903366919,0.768200117,0.858653155,0.748258058
1910129110002,MHSIPA19003,Pendidikan IPA,3.64,20,3.56,44,3.58,67,3.6,90,3.6,114,0.768175078,0.185353936,0.405549054,1.249698535,0.430072671,0.617931172,0.493790384,0.592579961,0.433528172,0.613673181
1910129210012,MHSIPA19004,Pendidikan IPA,3.53,20,3.61,44,3.71,68,3.66,91,3.62,115,0.476133298,0.185353936,0.54941853,1.249698535,0.841914326,0.860227242,0.682825708,0.768200117,0.494260313,0.748258058
1910129320008,MHSIPA19005,Pendidikan IPA,3.33,20,3.56,43,3.57,67,3.57,91,3.61,115,-0.054851758,0.185353936,0.405549054,0.580668006,0.398392544,0.617931172,0.399272722,0.768200117,0.463894242,0.748258058
1910129220024,MHSIPA19006,Pendidikan IPA,3.64,20,3.73,44,3.82,68,3.76,91,3.76,115,0.768175078,0.185353936,0.894705275,1.249698535,1.190395726,0.860227242,0.99788458,0.768200117,0.919385296,0.748258058
1910129220022,MHSIPA19007,Pendidikan IPA,3.2,20,3.43,42,3.56,66,3.57,89,3.58,113,-0.399992044,0.185353936,0.031488414,-0.088362523,0.366712417,0.375635102,0.399272722,0.416959805,0.372796032,0.479088304
1910129220021,MHSIPA19008,Pendidikan IPA,3.46,20,3.5,42,3.67,66,3.74,89,3.73,113,0.290288528,0.185353936,0.232905681,-0.088362523,0.715193817,0.375635102,0.934872806,0.416959805,0.828287085,0.479088304
1910129120010,MHSIPA19009,Pendidikan IPA,3.53,20,3.49,42,3.54,64,3.62,86,3.67,110,0.476133298,0.185353936,0.204131786,-0.088362523,0.303352162,-0.108957038,0.556802159,-0.109900664,0.646090664,0.075333673
1910129320007,MHSIPA19010,Pendidikan IPA,3.06,18,3.23,40,3.26,60,3.26,83,3.39,105,-0.771681583,-1.574125222,-0.543989493,-1.42642358,-0.583691401,-1.078141318,-0.577409783,-0.636761132,-0.204159302,-0.597590712
1910129220003,MHSIPA19011,Pendidikan IPA,3.67,20,3.69,44,3.78,67,3.8,91,3.76,115,0.847822837,0.185353936,0.779609693,1.249698535,1.063675217,0.617931172,1.12390813,0.768200117,0.919385296,0.748258058
